,Price
2014-06-16,1840.25
2014-06-17,1852.0
2014-06-18,1874.5
2014-06-19,1890.5
2014-06-20,1888.5
2014-06-21,1890.5
2014-06-22,1890.5
2014-06-23,1892.5
2014-06-24,1901.0
2014-06-25,1903.5
2014-06-26,1898.0
2014-06-27,1885.0
2014-06-28,1887.875
2014-06-29,1887.875
2014-06-30,1890.75
2014-07-01,1884.5
2014-07-02,1926.0
2014-07-03,1936.0
2014-07-04,1921.5
2014-07-05,1920.5
2014-07-06,1920.5
2014-07-07,1919.5
2014-07-08,1938.0
2014-07-09,1937.75
2014-07-10,1922.25
2014-07-11,1939.0
2014-07-12,1938.75
2014-07-13,1938.75
2014-07-14,1938.5
2014-07-15,1960.0
2014-07-16,1970.5
2014-07-17,1990.0
2014-07-18,1982.75
2014-07-19,2001.875
2014-07-20,2001.875
2014-07-21,2021.0
2014-07-22,2044.5
2014-07-23,2017.25
2014-07-24,2027.0
2014-07-25,1998.0
2014-07-26,2006.5
2014-07-27,2006.5
2014-07-28,2015.0
2014-07-29,1981.25
2014-07-30,2021.0
2014-07-31,1988.5
2014-08-01,1973.5
2014-08-02,1999.25
2014-08-03,1999.25
2014-08-04,2025.0
2014-08-05,2008.0
2014-08-06,2020.0
2014-08-07,2022.5
2014-08-08,2020.25
2014-08-09,2023.5
2014-08-10,2023.5
2014-08-11,2026.75
2014-08-12,2044.25
2014-08-13,2017.5
2014-08-14,1988.75
2014-08-15,1992.0
2014-08-16,2000.875
2014-08-17,2000.875
2014-08-18,2009.75
2014-08-19,2039.0
2014-08-20,2077.0
2014-08-21,2060.25
2014-08-22,2064.75
2014-08-23,2074.125
2014-08-24,2074.125
2014-08-25,2074.125
2014-08-26,2083.5
2014-08-27,2087.25
2014-08-28,2083.5
2014-08-29,2098.5
2014-08-30,2097.25
2014-08-31,2097.25
2014-09-01,2096.0
2014-09-02,2107.25
2014-09-03,2078.5
2014-09-04,2104.5
2014-09-05,2090.25
2014-09-06,2091.5
2014-09-07,2091.5
2014-09-08,2092.75
2014-09-09,2063.5
2014-09-10,2053.0
2014-09-11,2034.0
2014-09-12,2022.5
2014-09-13,2002.625
2014-09-14,2002.625
2014-09-15,1982.75
2014-09-16,2025.5
2014-09-17,1999.0
2014-09-18,1982.5
2014-09-19,1977.0
2014-09-20,1976.875
2014-09-21,1976.875
2014-09-22,1976.75
2014-09-23,1966.5
2014-09-24,1974.5
2014-09-25,1950.25
2014-09-26,1946.0
2014-09-27,1953.625
2014-09-28,1953.625
2014-09-29,1961.25
2014-09-30,1958.25
2014-10-01,1918.25
2014-10-02,1887.25
2014-10-03,1912.0
2014-10-04,1919.75
2014-10-05,1919.75
2014-10-06,1927.5
2014-10-07,1953.0
2014-10-08,1937.75
2014-10-09,1949.0
2014-10-10,1929.5
2014-10-11,1936.5
2014-10-12,1936.5
2014-10-13,1943.5
2014-10-14,1951.0
2014-10-15,1919.5
2014-10-16,1912.5
2014-10-17,1971.0
2014-10-18,1971.25
2014-10-19,1971.25
2014-10-20,1971.5
2014-10-21,1991.0
2014-10-22,2016.0
2014-10-23,1991.0
2014-10-24,1969.0
2014-10-25,1976.75
2014-10-26,1976.75
2014-10-27,1984.5
2014-10-28,1998.5
2014-10-29,2035.0
2014-10-30,2035.0
2014-10-31,2047.0
2014-11-01,2062.0
2014-11-02,2062.0
2014-11-03,2077.0
2014-11-04,2065.5
2014-11-05,2063.0
2014-11-06,2079.75
2014-11-07,2059.0
2014-11-08,2048.75
2014-11-09,2048.75
2014-11-10,2038.5
2014-11-11,2050.5
2014-11-12,2067.0
2014-11-13,2046.0
2014-11-14,2026.5
2014-11-15,2029.75
2014-11-16,2029.75
2014-11-17,2033.0
2014-11-18,2011.0
2014-11-19,2020.0
2014-11-20,2033.5
2014-11-21,2055.5
2014-11-22,2051.125
2014-11-23,2051.125
2014-11-24,2046.75
2014-11-25,2050.75
2014-11-26,2062.5
2014-11-27,2045.0
2014-11-28,2005.0
2014-11-29,2015.25
2014-11-30,2015.25
2014-12-01,2025.5
2014-12-02,1976.5
2014-12-03,1970.0
2014-12-04,1992.25
2014-12-05,1979.5
2014-12-06,1970.75
2014-12-07,1970.75
2014-12-08,1962.0
2014-12-09,1967.5
2014-12-10,1954.25
2014-12-11,1941.25
2014-12-12,1929.0
2014-12-13,1921.875
2014-12-14,1921.875
2014-12-15,1914.75
2014-12-16,1906.5
2014-12-17,1920.75
2014-12-18,1911.0
2014-12-19,1907.0
2014-12-20,1893.0
2014-12-21,1893.0
2014-12-22,1879.0
2014-12-23,1867.5
2014-12-24,1858.5
2014-12-25,1857.75
2014-12-26,1857.75
2014-12-27,1857.75
2014-12-28,1857.75
2014-12-29,1857.0
2014-12-30,1854.75
2014-12-31,1848.75
2015-01-01,1838.375
2015-01-02,1828.0
2015-01-03,1820.125
2015-01-04,1820.125
2015-01-05,1812.25
2015-01-06,1780.25
2015-01-07,1783.5
2015-01-08,1825.5
2015-01-09,1804.25
2015-01-10,1804.5
2015-01-11,1804.5
2015-01-12,1804.75
2015-01-13,1787.25
2015-01-14,1771.5
2015-01-15,1787.0
2015-01-16,1843.0
2015-01-17,1829.75
2015-01-18,1829.75
2015-01-19,1816.5
2015-01-20,1844.25
2015-01-21,1868.0
2015-01-22,1865.75
2015-01-23,1830.0
2015-01-24,1854.25
2015-01-25,1854.25
2015-01-26,1878.5
2015-01-27,1853.5
2015-01-28,1847.75
2015-01-29,1816.5
2015-01-30,1862.0
2015-01-31,1865.625
2015-02-01,1865.625
2015-02-02,1869.25
2015-02-03,1886.75
2015-02-04,1874.0
2015-02-05,1881.5
2015-02-06,1867.5
2015-02-07,1869.875
2015-02-08,1869.875
2015-02-09,1872.25
2015-02-10,1832.75
2015-02-11,1818.75
2015-02-12,1838.75
2015-02-13,1834.25
2015-02-14,1828.25
2015-02-15,1828.25
2015-02-16,1822.25
2015-02-17,1817.5
2015-02-18,1818.75
2015-02-19,1817.5
2015-02-20,1793.0
2015-02-21,1791.875
2015-02-22,1791.875
2015-02-23,1790.75
2015-02-24,1809.0
2015-02-25,1793.0
2015-02-26,1804.5
2015-02-27,1814.0
2015-02-28,1806.75
2015-03-01,1806.75
2015-03-02,1799.5
2015-03-03,1790.75
2015-03-04,1797.25
2015-03-05,1798.75
2015-03-06,1778.25
2015-03-07,1776.625
2015-03-08,1776.625
2015-03-09,1775.0
2015-03-10,1756.75
2015-03-11,1740.0
2015-03-12,1742.5
2015-03-13,1766.75
2015-03-14,1766.125
2015-03-15,1766.125
2015-03-16,1765.5
2015-03-17,1786.0
2015-03-18,1764.0
2015-03-19,1780.25
2015-03-20,1796.5
2015-03-21,1797.125
2015-03-22,1797.125
2015-03-23,1797.75
2015-03-24,1790.75
2015-03-25,1774.5
2015-03-26,1788.5
2015-03-27,1781.25
2015-03-28,1788.875
2015-03-29,1788.875
2015-03-30,1796.5
2015-03-31,1784.0
2015-04-01,1776.5
2015-04-02,1780.5
2015-04-03,1780.625
2015-04-04,1780.625
2015-04-05,1780.625
2015-04-06,1780.625
2015-04-07,1780.75
2015-04-08,1766.25
2015-04-09,1757.0
2015-04-10,1759.25
2015-04-11,1759.25
2015-04-12,1759.25
2015-04-13,1759.25
2015-04-14,1789.0
2015-04-15,1812.0
2015-04-16,1821.5
2015-04-17,1817.0
2015-04-18,1814.625
2015-04-19,1814.625
2015-04-20,1812.25
2015-04-21,1817.75
2015-04-22,1807.25
2015-04-23,1777.75
2015-04-24,1823.5
2015-04-25,1830.875
2015-04-26,1830.875
2015-04-27,1838.25
2015-04-28,1876.25
2015-04-29,1885.25
2015-04-30,1929.0
2015-05-01,1913.0
2015-05-02,1945.5
2015-05-03,1945.5
2015-05-04,1945.5
2015-05-05,1978.0
2015-05-06,1919.5
2015-05-07,1879.5
2015-05-08,1885.0
2015-05-09,1879.625
2015-05-10,1879.625
2015-05-11,1874.25
2015-05-12,1890.0
2015-05-13,1876.0
2015-05-14,1861.0
2015-05-15,1845.0
2015-05-16,1828.0
2015-05-17,1828.0
2015-05-18,1811.0
2015-05-19,1789.0
2015-05-20,1783.5
2015-05-21,1772.5
2015-05-22,1767.5
2015-05-23,1758.875
2015-05-24,1758.875
2015-05-25,1758.875
2015-05-26,1750.25
2015-05-27,1735.75
2015-05-28,1774.5
2015-05-29,1738.0
2015-05-30,1748.625
2015-05-31,1748.625
2015-06-01,1759.25
2015-06-02,1738.0
2015-06-03,1750.75
2015-06-04,1741.25
2015-06-05,1747.75
2015-06-06,1746.375
2015-06-07,1746.375
2015-06-08,1745.0
2015-06-09,1745.75
2015-06-10,1754.75
2015-06-11,1744.5
2015-06-12,1733.0
2015-06-13,1720.625
2015-06-14,1720.625
2015-06-15,1708.25
2015-06-16,1707.0
2015-06-17,1704.5
2015-06-18,1700.75
2015-06-19,1691.0
2015-06-20,1698.875
2015-06-21,1698.875
2015-06-22,1706.75
2015-06-23,1722.75
2015-06-24,1714.0
2015-06-25,1720.75
2015-06-26,1701.25
2015-06-27,1698.25
2015-06-28,1698.25
2015-06-29,1695.25
2015-06-30,1684.75
2015-07-01,1721.5
2015-07-02,1718.75
2015-07-03,1704.5
2015-07-04,1695.5
2015-07-05,1695.5
2015-07-06,1686.5
2015-07-07,1656.75
2015-07-08,1661.5
2015-07-09,1689.5
2015-07-10,1686.75
2015-07-11,1694.5
2015-07-12,1694.5
2015-07-13,1702.25
2015-07-14,1710.5
2015-07-15,1720.5
2015-07-16,1717.75
2015-07-17,1698.5
2015-07-18,1693.875
2015-07-19,1693.875
2015-07-20,1689.25
2015-07-21,1661.0
2015-07-22,1659.5
2015-07-23,1637.0
2015-07-24,1645.25
2015-07-25,1643.375
2015-07-26,1643.375
2015-07-27,1641.5
2015-07-28,1658.5
2015-07-29,1666.0
2015-07-30,1646.0
2015-07-31,1621.5
2015-08-01,1618.625
2015-08-02,1618.625
2015-08-03,1615.75
2015-08-04,1620.75
2015-08-05,1598.5
2015-08-06,1596.5
2015-08-07,1593.0
2015-08-08,1607.0
2015-08-09,1607.0
2015-08-10,1621.0
2015-08-11,1589.25
2015-08-12,1591.0
2015-08-13,1575.75
2015-08-14,1582.75
2015-08-15,1575.875
2015-08-16,1575.875
2015-08-17,1569.0
2015-08-18,1554.0
2015-08-19,1556.5
2015-08-20,1575.5
2015-08-21,1548.25
2015-08-22,1533.875
2015-08-23,1533.875
2015-08-24,1519.5
2015-08-25,1556.0
2015-08-26,1529.75
2015-08-27,1558.5
2015-08-28,1601.75
2015-08-29,1600.625
2015-08-30,1600.625
2015-08-31,1600.625
2015-09-01,1599.5
2015-09-02,1595.5
2015-09-03,1625.25
2015-09-04,1602.5
2015-09-05,1598.0
2015-09-06,1598.0
2015-09-07,1593.5
2015-09-08,1623.5
2015-09-09,1622.5
2015-09-10,1630.0
2015-09-11,1632.25
2015-09-12,1622.25
2015-09-13,1622.25
2015-09-14,1612.25
2015-09-15,1613.75
2015-09-16,1626.5
2015-09-17,1633.25
2015-09-18,1626.0
2015-09-19,1621.75
2015-09-20,1621.75
2015-09-21,1617.5
2015-09-22,1589.0
2015-09-23,1577.0
2015-09-24,1578.5
2015-09-25,1566.5
2015-09-26,1557.125
2015-09-27,1557.125
2015-09-28,1547.75
2015-09-29,1560.5
2015-09-30,1573.0
2015-10-01,1559.0
2015-10-02,1550.75
2015-10-03,1553.5
2015-10-04,1553.5
2015-10-05,1556.25
2015-10-06,1544.0
2015-10-07,1567.0
2015-10-08,1549.75
2015-10-09,1601.75
2015-10-10,1591.375
2015-10-11,1591.375
2015-10-12,1581.0
2015-10-13,1580.5
2015-10-14,1579.5
2015-10-15,1560.0
2015-10-16,1559.0
2015-10-17,1546.5
2015-10-18,1546.5
2015-10-19,1534.0
2015-10-20,1545.0
2015-10-21,1516.0
2015-10-22,1491.5
2015-10-23,1498.0
2015-10-24,1489.0
2015-10-25,1489.0
2015-10-26,1480.0
2015-10-27,1476.75
2015-10-28,1484.75
2015-10-29,1472.25
2015-10-30,1479.75
2015-10-31,1487.125
2015-11-01,1487.125
2015-11-02,1494.5
2015-11-03,1503.0
2015-11-04,1505.5
2015-11-05,1510.5
2015-11-06,1527.5
2015-11-07,1522.5
2015-11-08,1522.5
2015-11-09,1517.5
2015-11-10,1514.0
2015-11-11,1524.0
2015-11-12,1497.5
2015-11-13,1497.0
2015-11-14,1484.0
2015-11-15,1484.0
2015-11-16,1471.0
2015-11-17,1474.0
2015-11-18,1472.5
2015-11-19,1466.5
2015-11-20,1447.5
2015-11-21,1441.625
2015-11-22,1441.625
2015-11-23,1435.75
2015-11-24,1445.75
2015-11-25,1460.0
2015-11-26,1502.0
2015-11-27,1458.5
2015-11-28,1452.75
2015-11-29,1452.75
2015-11-30,1447.0
2015-12-01,1470.25
2015-12-02,1487.0
2015-12-03,1474.5
2015-12-04,1515.0
2015-12-05,1500.0
2015-12-06,1500.0
2015-12-07,1485.0
2015-12-08,1477.0
2015-12-09,1490.75
2015-12-10,1491.75
2015-12-11,1483.25
2015-12-12,1487.875
2015-12-13,1487.875
2015-12-14,1492.5
2015-12-15,1471.0
2015-12-16,1486.0
2015-12-17,1476.5
2015-12-18,1506.25
2015-12-19,1509.875
2015-12-20,1509.875
2015-12-21,1513.5
2015-12-22,1508.0
2015-12-23,1537.0
2015-12-24,1534.0
2015-12-25,1534.875
2015-12-26,1534.875
2015-12-27,1534.875
2015-12-28,1534.875
2015-12-29,1535.75
2015-12-30,1528.75
2015-12-31,1507.75
2016-01-01,1490.375
2016-01-02,1490.375
2016-01-03,1490.375
2016-01-04,1473.0
2016-01-05,1462.5
2016-01-06,1474.0
2016-01-07,1473.5
2016-01-08,1491.75
2016-01-09,1475.375
2016-01-10,1475.375
2016-01-11,1459.0
2016-01-12,1449.5
2016-01-13,1462.5
2016-01-14,1483.0
2016-01-15,1473.0
2016-01-16,1476.625
2016-01-17,1476.625
2016-01-18,1480.25
2016-01-19,1481.0
2016-01-20,1469.0
2016-01-21,1482.5
2016-01-22,1482.25
2016-01-23,1479.375
2016-01-24,1479.375
2016-01-25,1476.5
2016-01-26,1495.75
2016-01-27,1527.0
2016-01-28,1514.0
2016-01-29,1519.25
2016-01-30,1520.0
2016-01-31,1520.0
2016-02-01,1520.75
2016-02-02,1500.5
2016-02-03,1524.5
2016-02-04,1533.75
