,Price
2010-01-04,7475.25
2010-01-05,7458.75
2010-01-06,7638.0
2010-01-07,7511.25
2010-01-08,7437.5
2010-01-09,7489.75
2010-01-10,7489.75
2010-01-11,7542.0
2010-01-12,7430.5
2010-01-13,7462.0
2010-01-14,7466.25
2010-01-15,7403.25
2010-01-16,7438.75
2010-01-17,7438.75
2010-01-18,7474.25
2010-01-19,7366.75
2010-01-20,7366.75
2010-01-21,7259.25
2010-01-22,7375.75
2010-01-23,7413.0
2010-01-24,7413.0
2010-01-25,7450.25
2010-01-26,7366.0
2010-01-27,7214.75
2010-01-28,6883.5
2010-01-29,6730.25
2010-01-30,6752.5
2010-01-31,6752.5
2010-02-01,6774.75
2010-02-02,6800.0
2010-02-03,6572.5
2010-02-04,6371.0
2010-02-05,6262.5
2010-02-06,6346.5
2010-02-07,6346.5
2010-02-08,6430.5
2010-02-09,6570.5
2010-02-10,6515.5
2010-02-11,6922.0
2010-02-12,6795.75
2010-02-13,6821.25
2010-02-14,6821.25
2010-02-15,6846.75
2010-02-16,7047.625
2010-02-17,7047.625
2010-02-18,7248.5
2010-02-19,7416.5
2010-02-20,7365.0
2010-02-21,7365.0
2010-02-22,7313.5
2010-02-23,7114.0
2010-02-24,7134.0
2010-02-25,6979.0
2010-02-26,7175.0
2010-02-27,7276.0
2010-02-28,7276.0
2010-03-01,7377.0
2010-03-02,7467.5
2010-03-03,7555.75
2010-03-04,7371.5
2010-03-05,7519.5
2010-03-06,7480.375
2010-03-07,7480.375
2010-03-08,7441.25
2010-03-09,7479.0
2010-03-10,7408.75
2010-03-11,7432.0
2010-03-12,7412.5
2010-03-13,7342.0
2010-03-14,7342.0
2010-03-15,7271.5
2010-03-16,7369.25
2010-03-17,7369.25
2010-03-18,7467.0
2010-03-19,7414.0
2010-03-20,7420.625
2010-03-21,7420.625
2010-03-22,7427.25
2010-03-23,7417.25
2010-03-24,7348.25
2010-03-25,7411.75
2010-03-26,7491.75
2010-03-27,7618.375
2010-03-28,7618.375
2010-03-29,7745.0
2010-03-30,7826.0
2010-03-31,7767.75
2010-04-01,7863.0
2010-04-02,7915.125
2010-04-03,7915.125
2010-04-04,7915.125
2010-04-05,7915.125
2010-04-06,7967.25
2010-04-07,7921.25
2010-04-08,7865.75
2010-04-09,7897.0
2010-04-10,7886.25
2010-04-11,7886.25
2010-04-12,7875.5
2010-04-13,7870.25
2010-04-14,7920.0
2010-04-15,7914.5
2010-04-16,7728.5
2010-04-17,7695.75
2010-04-18,7695.75
2010-04-19,7663.0
2010-04-20,7664.625
2010-04-21,7664.625
2010-04-22,7666.25
2010-04-23,7725.0
2010-04-24,7754.375
2010-04-25,7754.375
2010-04-26,7783.75
2010-04-27,7463.25
2010-04-28,7373.0
2010-04-29,7328.0
2010-04-30,7404.0
2010-05-01,7200.0
2010-05-02,7200.0
2010-05-03,7200.0
2010-05-04,6996.0
2010-05-05,6928.25
2010-05-06,6917.25
2010-05-07,6916.25
2010-05-08,7003.0
2010-05-09,7003.0
2010-05-10,7089.75
2010-05-11,7018.25
2010-05-12,6992.75
2010-05-13,7128.25
2010-05-14,6894.5
2010-05-15,6665.0
2010-05-16,6665.0
2010-05-17,6435.5
2010-05-18,6513.375
2010-05-19,6513.375
2010-05-20,6591.25
2010-05-21,6830.5
2010-05-22,6861.5
2010-05-23,6861.5
2010-05-24,6892.5
2010-05-25,6710.0
2010-05-26,6756.75
2010-05-27,6961.75
2010-05-28,6917.0
2010-05-29,6820.625
2010-05-30,6820.625
2010-05-31,6820.625
2010-06-01,6724.25
2010-06-02,6641.75
2010-06-03,6497.0
2010-06-04,6251.0
2010-06-05,6160.25
2010-06-06,6160.25
2010-06-07,6069.5
2010-06-08,6135.0
2010-06-09,6311.75
2010-06-10,6381.75
2010-06-11,6455.5
2010-06-12,6545.375
