,Price
2010-01-04,1118.3
2010-01-05,1118.7
2010-01-06,1136.5
2010-01-07,1133.7
2010-01-08,1138.9
2010-01-09,1145.15
2010-01-10,1145.15
2010-01-11,1151.4
2010-01-12,1129.4
2010-01-13,1136.8
2010-01-14,1143.0
2010-01-15,1130.5
2010-01-16,1135.25
2010-01-17,1135.25
2010-01-18,1140.0
2010-01-19,1140.6
2010-01-20,1112.6
2010-01-21,1103.2
2010-01-22,1089.7
2010-01-23,1092.7
2010-01-24,1092.7
2010-01-25,1095.7
2010-01-26,1098.3
2010-01-27,1084.5
2010-01-28,1084.8
2010-01-29,1083.8
2010-01-30,1094.4
2010-01-31,1094.4
2010-02-01,1105.0
2010-02-02,1118.0
2010-02-03,1112.0
2010-02-04,1063.0
2010-02-05,1052.8
2010-02-06,1059.5
2010-02-07,1059.5
2010-02-08,1066.2
2010-02-09,1077.2
2010-02-10,1076.3
2010-02-11,1094.7
2010-02-12,1090.0
2010-02-13,1104.9
2010-02-14,1104.9
2010-02-15,1119.8
2010-02-16,1119.8
2010-02-17,1120.1
2010-02-18,1118.7
2010-02-19,1122.1
2010-02-20,1117.6
2010-02-21,1117.6
2010-02-22,1113.1
2010-02-23,1103.2
2010-02-24,1097.2
2010-02-25,1108.5
2010-02-26,1118.9
2010-02-27,1118.6
2010-02-28,1118.6
2010-03-01,1118.3
2010-03-02,1137.4
2010-03-03,1143.3
2010-03-04,1133.1
2010-03-05,1135.2
2010-03-06,1129.6
2010-03-07,1129.6
2010-03-08,1124.0
2010-03-09,1122.3
2010-03-10,1108.1
2010-03-11,1108.2
2010-03-12,1101.7
2010-03-13,1103.5500000000002
2010-03-14,1103.5500000000002
2010-03-15,1105.4
2010-03-16,1122.5
2010-03-17,1124.2
2010-03-18,1127.5
2010-03-19,1107.6
2010-03-20,1103.55
2010-03-21,1103.55
2010-03-22,1099.5
2010-03-23,1103.7
2010-03-24,1088.8
2010-03-25,1092.9
2010-03-26,1104.3
2010-03-27,1107.3
2010-03-28,1107.3
2010-03-29,1110.3
2010-03-30,1105.7
2010-03-31,1114.5
2010-04-01,1126.1
2010-04-02,1129.9499999999998
2010-04-03,1129.9499999999998
2010-04-04,1129.9499999999998
2010-04-05,1133.8
2010-04-06,1136.0
2010-04-07,1153.0
2010-04-08,1152.9
2010-04-09,1161.9
2010-04-10,1162.0500000000002
2010-04-11,1162.0500000000002
2010-04-12,1162.2
2010-04-13,1153.4
2010-04-14,1159.6
2010-04-15,1160.3
2010-04-16,1136.9
2010-04-17,1136.35
2010-04-18,1136.35
2010-04-19,1135.8
2010-04-20,1139.2
2010-04-21,1148.8
2010-04-22,1142.9
2010-04-23,1153.7
2010-04-24,1153.85
2010-04-25,1153.85
2010-04-26,1154.0
2010-04-27,1162.2
2010-04-28,1171.8
2010-04-29,1168.8
2010-04-30,1180.7
2010-05-01,1182.0
2010-05-02,1182.0
2010-05-03,1183.3
2010-05-04,1169.2
2010-05-05,1175.0
2010-05-06,1197.3
2010-05-07,1210.4
2010-05-08,1205.6
2010-05-09,1205.6
2010-05-10,1200.8
2010-05-11,1220.3
2010-05-12,1243.1
2010-05-13,1229.2
2010-05-14,1227.8
2010-05-15,1227.9499999999998
2010-05-16,1227.9499999999998
2010-05-17,1228.1
2010-05-18,1214.6
2010-05-19,1193.1
2010-05-20,1188.6
2010-05-21,1176.1
2010-05-22,1185.05
2010-05-23,1185.05
2010-05-24,1194.0
2010-05-25,1198.0
2010-05-26,1213.4
2010-05-27,1211.9
2010-05-28,1215.0
2010-05-29,1220.95
2010-05-30,1220.95
2010-05-31,1226.9
2010-06-01,1226.9
2010-06-02,1222.6
2010-06-03,1210.0
2010-06-04,1217.7
2010-06-05,1229.25
2010-06-06,1229.25
2010-06-07,1240.8
2010-06-08,1245.6
2010-06-09,1229.9
2010-06-10,1222.2
2010-06-11,1230.2
2010-06-12,1227.35
2010-06-13,1227.35
2010-06-14,1224.5
2010-06-15,1234.4
2010-06-16,1230.5
2010-06-17,1248.7
2010-06-18,1258.3
2010-06-19,1249.5
2010-06-20,1249.5
2010-06-21,1240.7
2010-06-22,1240.8
2010-06-23,1234.8
2010-06-24,1245.9
2010-06-25,1256.2
2010-06-26,1247.4
2010-06-27,1247.4
2010-06-28,1238.6
2010-06-29,1242.4
2010-06-30,1245.9
2010-07-01,1206.7
2010-07-02,1207.7
2010-07-03,1201.4
2010-07-04,1201.4
2010-07-05,1195.1
2010-07-06,1196.0
2010-07-07,1198.9
2010-07-08,1196.1
2010-07-09,1209.8
2010-07-10,1204.25
2010-07-11,1204.25
2010-07-12,1198.7
2010-07-13,1213.5
2010-07-14,1207.0
2010-07-15,1208.3
2010-07-16,1188.2
2010-07-17,1185.0500000000002
2010-07-18,1185.0500000000002
2010-07-19,1181.9
2010-07-20,1191.7
2010-07-21,1191.8
2010-07-22,1195.6
2010-07-23,1187.8
2010-07-24,1185.4499999999998
2010-07-25,1185.4499999999998
2010-07-26,1183.1
2010-07-27,1158.0
2010-07-28,1160.4
2010-07-29,1171.2
2010-07-30,1183.9
2010-07-31,1184.65
2010-08-01,1184.65
2010-08-02,1185.4
2010-08-03,1187.5
2010-08-04,1195.9
2010-08-05,1199.3
2010-08-06,1205.3
2010-08-07,1203.9499999999998
2010-08-08,1203.9499999999998
2010-08-09,1202.6
2010-08-10,1198.0
2010-08-11,1199.2
2010-08-12,1216.7
2010-08-13,1216.6
2010-08-14,1221.4
2010-08-15,1221.4
2010-08-16,1226.2
2010-08-17,1228.3
2010-08-18,1231.4
2010-08-19,1235.4
2010-08-20,1228.8
2010-08-21,1228.65
2010-08-22,1228.65
2010-08-23,1228.5
2010-08-24,1233.4
2010-08-25,1241.3
2010-08-26,1237.7
2010-08-27,1237.9
2010-08-28,1238.5500000000002
2010-08-29,1238.5500000000002
2010-08-30,1239.2
2010-08-31,1250.3
2010-09-01,1248.1
2010-09-02,1253.4
2010-09-03,1251.1
2010-09-04,1255.1999999999998
2010-09-05,1255.1999999999998
2010-09-06,1259.3
2010-09-07,1258.9
2010-09-08,1257.5
2010-09-09,1250.9
2010-09-10,1246.5
2010-09-11,1246.8
2010-09-12,1246.8
2010-09-13,1247.1
2010-09-14,1271.7
2010-09-15,1268.7
2010-09-16,1273.8
2010-09-17,1277.5
2010-09-18,1279.15
2010-09-19,1279.15
2010-09-20,1280.8
2010-09-21,1274.3
2010-09-22,1292.1
2010-09-23,1296.3
2010-09-24,1298.1
2010-09-25,1298.35
2010-09-26,1298.35
2010-09-27,1298.6
2010-09-28,1308.3
2010-09-29,1310.3
2010-09-30,1309.6
2010-10-01,1317.8
2010-10-02,1317.3
2010-10-03,1317.3
2010-10-04,1316.8
2010-10-05,1340.3
2010-10-06,1347.7
2010-10-07,1335.0
2010-10-08,1345.3
2010-10-09,1349.85
2010-10-10,1349.85
2010-10-11,1354.4
2010-10-12,1346.7
2010-10-13,1370.5
2010-10-14,1377.6
2010-10-15,1372.0
2010-10-16,1372.05
2010-10-17,1372.05
2010-10-18,1372.1
2010-10-19,1336.0
2010-10-20,1344.2
2010-10-21,1325.6
2010-10-22,1325.1
2010-10-23,1332.0
