,Price
2010-10-25,145.0
2010-10-26,145.1
2010-10-27,144.5
2010-10-28,144.0
2010-10-29,147.5
2010-10-30,146.75
2010-10-31,146.75
2010-11-01,146.0
2010-11-02,152.0
2010-11-03,153.5
2010-11-04,156.5
2010-11-05,158.3
2010-11-06,159.9
2010-11-07,159.9
2010-11-08,161.5
2010-11-09,162.0
2010-11-10,157.5
2010-11-11,159.0
2010-11-12,155.8
2010-11-13,155.9
2010-11-14,155.9
2010-11-15,156.0
2010-11-16,160.3
2010-11-17,158.5
2010-11-18,158.0
2010-11-19,159.5
2010-11-20,159.75
2010-11-21,159.75
2010-11-22,160.0
2010-11-23,161.0
2010-11-24,161.5
2010-11-25,161.25
2010-11-26,161.0
2010-11-27,160.75
2010-11-28,160.75
2010-11-29,160.5
2010-11-30,160.5
2010-12-01,166.8
2010-12-02,167.0
2010-12-03,168.0
2010-12-04,168.5
2010-12-05,168.5
2010-12-06,169.0
2010-12-07,169.9
2010-12-08,169.1
2010-12-09,168.0
2010-12-10,169.0
2010-12-11,169.0
2010-12-12,169.0
2010-12-13,169.0
2010-12-14,169.5
2010-12-15,169.5
2010-12-16,169.0
2010-12-17,169.0
2010-12-18,169.0
2010-12-19,169.0
2010-12-20,169.0
2010-12-21,169.0
2010-12-22,168.8
2010-12-23,168.8
2010-12-24,168.8
2010-12-25,168.8
2010-12-26,168.8
2010-12-27,168.8
2010-12-28,168.8
2010-12-29,169.0
2010-12-30,169.0
2010-12-31,168.3
2011-01-01,169.15
2011-01-02,169.15
2011-01-03,170.0
2011-01-04,172.1
2011-01-05,174.5
2011-01-06,173.5
2011-01-07,173.5
2011-01-08,173.5
2011-01-09,173.5
2011-01-10,173.5
2011-01-11,175.0
2011-01-12,176.0
2011-01-13,176.0
2011-01-14,179.5
2011-01-15,179.25
2011-01-16,179.25
2011-01-17,179.25
2011-01-18,179.25
2011-01-19,179.0
2011-01-20,178.0
2011-01-21,178.0
2011-01-22,178.5
2011-01-23,178.5
2011-01-24,179.0
2011-01-25,179.0
2011-01-26,179.0
2011-01-27,179.5
2011-01-28,179.5
2011-01-29,179.55
2011-01-30,179.55
2011-01-31,179.6
2011-02-01,183.0
2011-02-02,184.0
2011-02-03,183.5
2011-02-04,183.5
2011-02-05,184.15
2011-02-06,184.15
2011-02-07,184.8
2011-02-08,185.5
2011-02-09,185.5
2011-02-10,188.0
2011-02-11,188.0
2011-02-12,188.25
2011-02-13,188.25
2011-02-14,188.5
2011-02-15,188.9
2011-02-16,187.8
2011-02-17,187.5
2011-02-18,187.5
2011-02-19,187.6
2011-02-20,187.6
2011-02-21,187.6
2011-02-22,187.7
2011-02-23,187.6
2011-02-24,187.5
2011-02-25,187.5
2011-02-26,187.35
2011-02-27,187.35
2011-02-28,187.2
2011-03-01,173.4
2011-03-02,172.0
2011-03-03,173.0
2011-03-04,174.5
2011-03-05,173.05
2011-03-06,173.05
2011-03-07,171.6
2011-03-08,171.5
2011-03-09,168.8
2011-03-10,167.8
2011-03-11,164.0
2011-03-12,163.55
2011-03-13,163.55
2011-03-14,163.1
2011-03-15,163.6
2011-03-16,167.7
2011-03-17,169.0
2011-03-18,168.9
2011-03-19,169.10000000000002
2011-03-20,169.10000000000002
2011-03-21,169.3
2011-03-22,170.0
2011-03-23,170.0
2011-03-24,169.4
2011-03-25,169.4
2011-03-26,169.35000000000002
2011-03-27,169.35000000000002
2011-03-28,169.3
2011-03-29,169.3
2011-03-30,169.5
2011-03-31,174.0
2011-04-01,171.9
2011-04-02,172.85000000000002
2011-04-03,172.85000000000002
2011-04-04,173.8
2011-04-05,173.2
2011-04-06,175.0
2011-04-07,179.3
2011-04-08,181.0
2011-04-09,181.05
2011-04-10,181.05
2011-04-11,181.1
2011-04-12,178.9
2011-04-13,178.8
2011-04-14,179.0
2011-04-15,179.1
2011-04-16,179.14999999999998
2011-04-17,179.14999999999998
2011-04-18,179.2
2011-04-19,179.4
2011-04-20,179.4
2011-04-21,179.4
2011-04-22,179.45
2011-04-23,179.45
2011-04-24,179.45
2011-04-25,179.5
2011-04-26,179.5
2011-04-27,179.1
2011-04-28,179.1
2011-04-29,175.05
2011-04-30,175.05
2011-05-01,175.05
2011-05-02,171.0
2011-05-03,175.8
2011-05-04,175.0
2011-05-05,172.5
2011-05-06,169.3
2011-05-07,168.65
2011-05-08,168.65
2011-05-09,168.0
2011-05-10,172.5
2011-05-11,170.1
2011-05-12,168.8
2011-05-13,169.6
2011-05-14,169.05
2011-05-15,169.05
2011-05-16,168.5
2011-05-17,167.8
2011-05-18,167.5
2011-05-19,164.6
2011-05-20,164.1
2011-05-21,163.8
2011-05-22,163.8
2011-05-23,163.5
2011-05-24,165.4
2011-05-25,166.5
2011-05-26,165.0
2011-05-27,165.7
2011-05-28,167.14999999999998
2011-05-29,167.14999999999998
2011-05-30,167.14999999999998
2011-05-31,168.6
2011-06-01,168.2
2011-06-02,166.9
2011-06-03,168.3
2011-06-04,169.8
2011-06-05,169.8
2011-06-06,171.3
2011-06-07,172.8
2011-06-08,172.4
2011-06-09,172.8
2011-06-10,172.3
2011-06-11,171.25
2011-06-12,171.25
2011-06-13,170.2
2011-06-14,170.3
2011-06-15,171.0
2011-06-16,169.0
2011-06-17,166.6
2011-06-18,165.45
2011-06-19,165.45
2011-06-20,164.3
2011-06-21,164.2
2011-06-22,165.0
2011-06-23,166.0
2011-06-24,165.0
2011-06-25,164.55
2011-06-26,164.55
2011-06-27,164.1
2011-06-28,164.3
2011-06-29,164.9
2011-06-30,164.0
2011-07-01,163.9
2011-07-02,167.05
2011-07-03,167.05
2011-07-04,167.05
2011-07-05,170.2
2011-07-06,170.2
2011-07-07,169.7
2011-07-08,168.8
2011-07-09,169.2
2011-07-10,169.2
2011-07-11,169.6
2011-07-12,171.5
2011-07-13,172.4
2011-07-14,172.2
2011-07-15,171.6
2011-07-16,171.8
2011-07-17,171.8
2011-07-18,172.0
2011-07-19,172.3
2011-07-20,172.4
2011-07-21,172.5
2011-07-22,172.6
2011-07-23,172.64999999999998
2011-07-24,172.64999999999998
2011-07-25,172.7
2011-07-26,172.8
2011-07-27,173.0
2011-07-28,173.1
2011-07-29,173.1
2011-07-30,173.1
2011-07-31,173.1
2011-08-01,173.1
2011-08-02,173.3
2011-08-03,177.9
2011-08-04,177.8
2011-08-05,175.3
2011-08-06,175.25
2011-08-07,175.25
2011-08-08,175.2
2011-08-09,174.8
2011-08-10,176.1
2011-08-11,175.6
2011-08-12,175.8
2011-08-13,176.0
2011-08-14,176.0
2011-08-15,176.2
2011-08-16,176.7
2011-08-17,176.9
2011-08-18,177.0
2011-08-19,177.0
2011-08-20,177.0
2011-08-21,177.0
2011-08-22,177.0
2011-08-23,177.1
2011-08-24,177.2
2011-08-25,177.2
2011-08-26,177.3
2011-08-27,177.3
2011-08-28,177.3
2011-08-29,177.3
2011-08-30,177.3
2011-08-31,177.4
2011-09-01,178.5
2011-09-02,179.1
2011-09-03,178.85
2011-09-04,178.85
2011-09-05,178.85
2011-09-06,178.6
2011-09-07,179.4
2011-09-08,179.5
2011-09-09,178.1
2011-09-10,178.14999999999998
2011-09-11,178.14999999999998
2011-09-12,178.2
2011-09-13,179.0
2011-09-14,178.8
2011-09-15,178.9
2011-09-16,178.8
2011-09-17,178.65
2011-09-18,178.65
2011-09-19,178.5
2011-09-20,178.7
2011-09-21,178.5
2011-09-22,178.5
2011-09-23,178.3
2011-09-24,178.2
2011-09-25,178.2
2011-09-26,178.1
2011-09-27,177.9
2011-09-28,177.8
2011-09-29,177.5
2011-09-30,168.05
2011-10-01,168.05
2011-10-02,168.05
2011-10-03,158.6
2011-10-04,163.3
2011-10-05,164.5
2011-10-06,165.5
2011-10-07,167.1
2011-10-08,166.5
2011-10-09,166.5
2011-10-10,165.9
2011-10-11,164.3
2011-10-12,163.2
2011-10-13,162.4
2011-10-14,162.6
2011-10-15,161.89999999999998
2011-10-16,161.89999999999998
2011-10-17,161.2
2011-10-18,159.7
2011-10-19,159.2
2011-10-20,158.6
2011-10-21,158.0
2011-10-22,157.75
2011-10-23,157.75
2011-10-24,157.5
2011-10-25,156.1
2011-10-26,154.8
2011-10-27,153.2
2011-10-28,152.0
2011-10-29,151.2
2011-10-30,151.2
2011-10-31,150.4
2011-11-01,125.6
2011-11-02,127.9
2011-11-03,127.7
2011-11-04,129.4
2011-11-05,129.3
2011-11-06,129.3
2011-11-07,129.2
2011-11-08,130.5
2011-11-09,133.2
2011-11-10,131.3
2011-11-11,131.3
2011-11-12,131.4
2011-11-13,131.4
2011-11-14,131.5
2011-11-15,133.4
2011-11-16,134.1
2011-11-17,134.8
2011-11-18,135.2
2011-11-19,135.25
2011-11-20,135.25
2011-11-21,135.3
2011-11-22,135.7
2011-11-23,135.8
2011-11-24,136.05
2011-11-25,136.3
2011-11-26,136.15
2011-11-27,136.15
2011-11-28,136.0
2011-11-29,135.8
2011-11-30,135.5
2011-12-01,135.5
2011-12-02,135.6
2011-12-03,135.7
2011-12-04,135.7
2011-12-05,135.8
2011-12-06,136.0
