,Price
2007-01-02,12.935
2007-01-03,12.67
2007-01-04,12.835
2007-01-05,12.23
2007-01-06,12.295
2007-01-07,12.295
2007-01-08,12.36
2007-01-09,12.595
2007-01-10,12.445
2007-01-11,12.46
2007-01-12,12.88
2007-01-13,12.752500000000001
2007-01-14,12.752500000000001
2007-01-15,12.752500000000001
2007-01-16,12.625
2007-01-17,12.89
2007-01-18,12.685
2007-01-19,12.92
2007-01-20,12.96
2007-01-21,12.96
2007-01-22,13.0
2007-01-23,13.26
2007-01-24,13.273
2007-01-25,13.49
2007-01-26,13.375
2007-01-27,13.3125
2007-01-28,13.3125
2007-01-29,13.25
2007-01-30,13.375
2007-01-31,13.632
2007-02-01,13.787
2007-02-02,13.437
2007-02-03,13.53
2007-02-04,13.53
2007-02-05,13.623
2007-02-06,13.738
2007-02-07,13.776
2007-02-08,13.836
2007-02-09,13.981
2007-02-10,13.879999999999999
2007-02-11,13.879999999999999
2007-02-12,13.779
2007-02-13,13.979
2007-02-14,14.029
2007-02-15,14.026
2007-02-16,14.054
2007-02-17,14.034500000000001
2007-02-18,14.034500000000001
2007-02-19,14.015
2007-02-20,13.894
2007-02-21,14.337
2007-02-22,14.32
2007-02-23,14.665
2007-02-24,14.712499999999999
2007-02-25,14.712499999999999
2007-02-26,14.76
2007-02-27,14.69
2007-02-28,14.235
2007-03-01,13.65
2007-03-02,12.96
2007-03-03,12.855
2007-03-04,12.855
2007-03-05,12.75
2007-03-06,12.985
2007-03-07,13.105
2007-03-08,13.12
2007-03-09,12.97
2007-03-10,13.0275
2007-03-11,13.0275
2007-03-12,13.085
2007-03-13,12.96
2007-03-14,12.83
2007-03-15,13.075
2007-03-16,13.215
2007-03-17,13.224
2007-03-18,13.224
2007-03-19,13.233
2007-03-20,13.37
2007-03-21,13.32
2007-03-22,13.48
2007-03-23,13.227
2007-03-24,13.3185
2007-03-25,13.3185
2007-03-26,13.41
2007-03-27,13.28
2007-03-28,13.455
2007-03-29,13.467
2007-03-30,13.51
2007-03-31,13.459
2007-04-01,13.459
2007-04-02,13.408
2007-04-03,13.488
2007-04-04,13.681
2007-04-05,13.801
2007-04-06,13.836
2007-04-07,13.836
2007-04-08,13.836
2007-04-09,13.871
2007-04-10,13.991
2007-04-11,13.951
2007-04-12,13.916
2007-04-13,14.151
2007-04-14,14.146
2007-04-15,14.146
2007-04-16,14.141
2007-04-17,14.081
2007-04-18,14.034
2007-04-19,13.792
2007-04-20,14.012
2007-04-21,14.0595
2007-04-22,14.0595
2007-04-23,14.107
2007-04-24,13.839
2007-04-25,13.827
2007-04-26,13.385
2007-04-27,13.575
2007-04-28,13.575
2007-04-29,13.575
2007-04-30,13.575
2007-05-01,13.37
2007-05-02,13.335
2007-05-03,13.51
2007-05-04,13.53
2007-05-05,13.585
2007-05-06,13.585
2007-05-07,13.64
2007-05-08,13.6
2007-05-09,13.47
2007-05-10,13.14
2007-05-11,13.305
2007-05-12,13.27
