,Price
2010-01-04,2547.0
2010-01-05,2547.5
2010-01-06,2691.25
2010-01-07,2579.25
2010-01-08,2493.25
2010-01-09,2518.625
2010-01-10,2518.625
2010-01-11,2544.0
2010-01-12,2446.75
2010-01-13,2460.75
2010-01-14,2474.75
2010-01-15,2442.0
2010-01-16,2448.125
2010-01-17,2448.125
2010-01-18,2454.25
2010-01-19,2418.125
2010-01-20,2418.125
2010-01-21,2382.0
2010-01-22,2331.75
2010-01-23,2312.875
2010-01-24,2312.875
2010-01-25,2294.0
2010-01-26,2298.25
2010-01-27,2215.0
2010-01-28,2137.0
2010-01-29,2090.0
2010-01-30,2109.25
2010-01-31,2109.25
2010-02-01,2128.5
2010-02-02,2143.5
2010-02-03,2078.0
2010-02-04,2006.5
2010-02-05,1921.25
2010-02-06,1962.75
2010-02-07,1962.75
2010-02-08,2004.25
2010-02-09,2086.75
2010-02-10,2099.75
2010-02-11,2183.5
2010-02-12,2167.5
2010-02-13,2179.0
2010-02-14,2179.0
2010-02-15,2190.5
2010-02-16,2241.375
2010-02-17,2241.375
2010-02-18,2292.25
2010-02-19,2347.0
2010-02-20,2310.75
2010-02-21,2310.75
2010-02-22,2274.5
2010-02-23,2201.5
2010-02-24,2184.5
2010-02-25,2095.5
2010-02-26,2174.5
2010-02-27,2186.0
2010-02-28,2186.0
2010-03-01,2197.5
2010-03-02,2232.5
2010-03-03,2297.5
2010-03-04,2235.75
2010-03-05,2325.5
2010-03-06,2335.0
2010-03-07,2335.0
2010-03-08,2344.5
2010-03-09,2349.0
2010-03-10,2349.75
2010-03-11,2313.0
2010-03-12,2307.75
2010-03-13,2279.125
2010-03-14,2279.125
2010-03-15,2250.5
2010-03-16,2283.25
2010-03-17,2283.25
2010-03-18,2316.0
2010-03-19,2277.0
2010-03-20,2267.375
2010-03-21,2267.375
2010-03-22,2257.75
2010-03-23,2220.25
2010-03-24,2190.5
2010-03-25,2224.5
2010-03-26,2207.75
2010-03-27,2258.75
2010-03-28,2258.75
2010-03-29,2309.75
2010-03-30,2356.75
2010-03-31,2351.75
2010-04-01,2379.0
2010-04-02,2400.125
2010-04-03,2400.125
2010-04-04,2400.125
2010-04-05,2400.125
2010-04-06,2421.25
2010-04-07,2372.25
2010-04-08,2351.25
2010-04-09,2385.25
2010-04-10,2389.125
2010-04-11,2389.125
2010-04-12,2393.0
2010-04-13,2357.75
2010-04-14,2429.75
2010-04-15,2477.75
2010-04-16,2390.75
2010-04-17,2372.75
2010-04-18,2372.75
2010-04-19,2354.75
2010-04-20,2374.25
2010-04-21,2374.25
2010-04-22,2393.75
2010-04-23,2380.5
2010-04-24,2398.125
2010-04-25,2398.125
2010-04-26,2415.75
2010-04-27,2335.25
2010-04-28,2304.0
2010-04-29,2242.0
2010-04-30,2259.25
2010-05-01,2189.0
2010-05-02,2189.0
2010-05-03,2189.0
2010-05-04,2118.75
2010-05-05,2097.0
2010-05-06,2085.25
2010-05-07,2063.0
2010-05-08,2086.25
2010-05-09,2086.25
2010-05-10,2109.5
2010-05-11,2040.25
2010-05-12,2070.75
2010-05-13,2130.0
2010-05-14,2025.0
2010-05-15,1946.75
2010-05-16,1946.75
2010-05-17,1868.5
2010-05-18,1860.25
2010-05-19,1860.25
2010-05-20,1852.0
2010-05-21,1870.75
2010-05-22,1889.125
2010-05-23,1889.125
2010-05-24,1907.5
2010-05-25,1831.25
2010-05-26,1865.0
2010-05-27,1914.0
2010-05-28,1909.5
2010-05-29,1867.0
2010-05-30,1867.0
2010-05-31,1867.0
2010-06-01,1824.5
2010-06-02,1773.25
2010-06-03,1716.0
2010-06-04,1612.25
2010-06-05,1605.125
2010-06-06,1605.125
2010-06-07,1598.0
2010-06-08,1704.0
2010-06-09,1723.75
2010-06-10,1690.0
2010-06-11,1709.5
2010-06-12,1737.0
2010-06-13,1737.0
2010-06-14,1764.5
2010-06-15,1754.125
2010-06-16,1754.125
2010-06-17,1743.75
2010-06-18,1708.5
2010-06-19,1730.375
2010-06-20,1730.375
2010-06-21,1752.25
2010-06-22,1770.75
2010-06-23,1806.0
2010-06-24,1851.5
2010-06-25,1850.5
2010-06-26,1853.375
